GDP (USD_CAP),Country,Year,hhsize,age_first,Cost of business startup procedures,Corporate Tax,Income Tax,UNEDUC,knowent,opport,suskill,sunewcst,discent,TEASIC4C_0,TEASIC4C_1,TEASIC4C_2,TEASIC4C_3,TEASIC4C_4,gender,age,age2,TEAyy
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,1,0,0,0,0,0,1,0,2,46,2116,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,1,1,0,0,0,0,0,0,1,2,52,2704,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,1,1,0,0,0,0,0,1,2,44,1936,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,0,1,0,0,0,0,0,1,0,2,41,1681,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,1,0,0,0,0,0,1,2,41,1681,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,1,1,1,1,0,1,0,0,0,0,2,32,1024,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,1,1,0,0,0,0,0,1,0,2,46,2116,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,1,1,0,0,0,0,0,1,2,40,1600,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,0,1,0,0,0,1,0,0,0,2,55,3025,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,1,1,1,0,0,0,0,0,1,2,56,3136,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,0,1,0,1,0,0,0,0,1,2,56,3136,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,0,0,0,0,0,0,0,0,1,2,38,1444,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,1,1,1,1,1,0,0,1,0,0,2,34,1156,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,1,1,0,0,0,0,0,1,2,31,961,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,1,0,1,0,0,0,0,0,1,2,21,441,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,1,1,1,0,0,0,0,1,0,0,2,51,2601,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,1,0,0,0,0,0,0,1,0,2,29,841,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,1,1,0,0,0,0,0,0,1,2,22,484,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,1,0,1,0,0,0,0,0,0,1,2,35,1225,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,1,1,1,0,0,0,0,0,1,2,44,1936,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,1,1,0,0,0,0,0,0,1,2,18,324,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,1,1,0,0,0,0,0,1,2,43,1849,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,0,0,0,0,0,1,0,0,2,43,1849,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,1,1,0,0,0,0,0,0,1,2,43,1849,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,0,1,1,0,0,0,0,0,1,2,31,961,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,0,1,1,1,0,0,0,0,1,2,43,1849,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,1,0,0,0,0,0,0,1,2,33,1089,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,1,1,0,0,0,0,0,0,1,2,41,1681,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,0,0,0,0,0,0,0,0,1,2,39,1521,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,1,1,1,0,0,0,0,1,0,0,2,31,961,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,1,1,0,0,0,0,0,0,1,2,60,3600,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,0,1,1,1,0,0,0,0,1,2,50,2500,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,1,1,1,0,0,0,0,0,0,1,2,37,1369,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,0,0,0,0,0,0,0,0,1,2,45,2025,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,1,1,1,1,0,0,0,0,0,1,2,39,1521,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,1,1,0,0,0,0,0,1,0,2,42,1764,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,0,0,0,0,0,0,0,0,1,2,33,1089,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,1,1,0,0,0,1,0,0,2,49,2401,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,0,0,0,0,0,0,1,0,2,46,2116,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,1,0,1,0,0,0,0,1,2,22,484,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,1,1,1,0,0,0,1,0,0,2,34,1156,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,0,1,0,0,0,0,0,0,1,2,40,1600,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,1,1,1,0,0,0,0,0,1,2,33,1089,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,1,1,1,0,0,0,0,0,1,0,2,34,1156,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,1,1,1,0,0,0,0,1,0,2,25,625,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,1,1,0,0,0,0,1,0,0,2,28,784,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,0,0,0,1,0,0,0,1,0,2,32,1024,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,1,1,0,0,0,0,0,1,2,37,1369,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,0,0,1,0,0,1,0,0,0,0,2,55,3025,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,1,0,0,1,1,0,0,0,0,1,2,56,3136,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,1,0,0,0,0,0,1,0,2,50,2500,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,1,1,1,0,0,0,0,0,1,2,45,2025,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,1,0,0,0,1,0,0,0,2,51,2601,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,1,1,0,0,0,0,0,1,2,45,2025,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,1,1,1,1,1,0,0,0,0,0,1,2,55,3025,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,0,0,1,0,1,0,0,0,0,2,30,900,1
46214.08,BE,2015,2.3,30.4,5.2,3.319,12.619,0,0,1,1,0,0,0,0,0,0,1,2,31,961,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,1,0,0,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,0,1,2,55,3025,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,0,0,0,0,0,0,0,1,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,1,0,0,1,0,0,0,2,38,1444,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,0,1,0,0,0,0,1,0,2,27,729,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,0,0,1,1,0,0,0,0,0,1,2,36,1296,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,44,1936,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,1,1,1,0,0,0,0,0,1,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,54,2916,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,37,1369,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,0,1,0,0,0,0,0,1,0,2,49,2401,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,0,0,1,0,0,0,0,0,0,1,2,47,2209,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,1,0,0,2,51,2601,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,0,0,1,2,19,361,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,1,0,0,0,0,2,38,1444,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,1,0,1,0,0,0,0,2,52,2704,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,27,729,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,0,0,0,0,0,1,0,0,2,51,2601,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,50,2500,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,31,961,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,0,0,1,2,35,1225,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,1,0,0,2,31,961,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,1,0,0,2,36,1296,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,1,1,1,0,0,0,0,0,1,2,57,3249,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,1,0,0,2,52,2704,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,0,1,2,35,1225,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,1,0,0,0,2,56,3136,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,27,729,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,0,1,1,0,0,0,0,0,1,0,2,42,1764,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,1,0,2,46,2116,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,0,0,1,0,0,0,0,0,1,0,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,1,1,0,0,0,0,1,0,0,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,0,0,0,0,0,0,0,1,2,44,1936,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,41,1681,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,40,1600,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,0,0,1,2,37,1369,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,0,1,0,0,0,0,0,0,1,2,55,3025,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,18,324,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,44,1936,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,39,1521,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,0,1,2,32,1024,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,1,1,0,0,0,0,1,0,0,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,0,1,0,0,0,0,1,0,0,2,32,1024,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,1,0,0,2,43,1849,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,1,1,0,0,0,0,0,1,0,2,29,841,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,26,676,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,1,0,0,0,2,37,1369,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,1,0,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,1,1,0,0,0,0,0,1,0,2,23,529,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,0,0,1,2,29,841,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,0,1,1,1,0,0,0,0,0,1,2,37,1369,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,1,0,0,0,0,0,1,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,1,0,0,0,0,0,1,2,41,1681,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,1,0,0,0,0,1,2,30,900,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,37,1369,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,1,0,2,41,1681,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,1,1,0,1,0,0,1,0,0,2,43,1849,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,1,1,1,0,0,0,0,1,0,2,40,1600,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,0,1,2,43,1849,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,0,0,0,0,0,0,0,1,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,0,1,1,0,0,0,0,0,1,2,31,961,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,0,0,1,0,0,0,0,0,1,0,2,41,1681,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,0,1,0,0,0,0,0,0,1,2,48,2304,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,1,0,0,2,48,2304,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,0,1,2,42,1764,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,1,0,0,2,51,2601,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,1,0,0,0,0,0,1,2,25,625,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,0,1,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,0,0,1,0,0,0,0,0,1,0,2,54,2916,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,0,1,0,0,0,0,1,0,0,2,48,2304,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,1,0,0,0,2,36,1296,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,1,0,0,0,0,0,1,2,43,1849,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,0,1,0,0,0,0,1,0,0,2,30,900,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,1,0,0,2,44,1936,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,1,0,0,0,0,0,1,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,26,676,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,0,0,1,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,1,0,2,32,1024,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,1,0,0,0,0,1,0,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,1,0,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,29,841,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,1,0,0,0,0,0,1,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,0,1,2,21,441,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,0,1,2,34,1156,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,1,0,0,2,54,2916,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,53,2809,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,0,0,1,0,0,0,0,0,1,0,2,28,784,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,42,1764,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,0,1,0,0,0,0,0,1,2,38,1444,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,1,0,2,38,1444,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,0,1,1,1,0,0,0,1,0,2,44,1936,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,0,0,0,0,1,0,0,0,2,44,1936,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,25,625,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,0,1,0,2,53,2809,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,25,625,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,0,0,1,2,26,676,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,1,0,0,0,0,0,1,2,49,2401,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,1,0,0,0,0,0,1,2,40,1600,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,53,2809,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,1,0,2,39,1521,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,0,0,0,0,0,0,1,0,2,40,1600,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,0,0,1,2,39,1521,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,1,0,2,41,1681,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,0,0,1,2,29,841,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,0,0,0,0,0,0,0,1,2,39,1521,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,0,1,0,0,0,0,0,0,1,0,2,41,1681,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,1,0,2,41,1681,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,42,1764,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,0,1,2,33,1089,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,0,1,0,0,0,1,0,0,2,26,676,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,0,1,0,0,0,0,0,1,0,2,46,2116,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,1,1,0,0,0,0,0,0,1,2,31,961,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,1,1,0,0,0,0,1,0,0,2,46,2116,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,1,1,0,1,0,0,0,0,0,0,1,2,31,961,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,1,0,0,0,0,1,0,2,49,2401,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,44,1936,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,0,1,1,0,0,0,0,0,0,1,2,20,400,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,1,1,0,0,0,0,0,0,1,2,36,1296,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,1,0,1,0,0,0,0,2,53,2809,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,0,0,0,0,0,1,0,0,2,54,2916,1
34938.58,ES,2015,2.5,31.9,1.4,2.372,7.181,0,1,0,1,0,0,0,0,0,0,1,2,54,2916,1
